univ,name,category,gates,price_level,url
한양대학교 서울캠퍼스,행운돈까스,"돈까스,우동",정문,1,http://place.map.kakao.com/8675374
한양대학교 서울캠퍼스,우동가조쿠,"돈까스,우동",정문,1,http://place.map.kakao.com/19036760
한양대학교 서울캠퍼스,장어구이,장어,정문,2,http://place.map.kakao.com/16764642
한양대학교 서울캠퍼스,양대포,"곱창,막창",정문,2,http://place.map.kakao.com/285402441
한양대학교 서울캠퍼스,장모족발 서울1호점,"족발,보쌈",정문,1,http://place.map.kakao.com/27496691
한양대학교 서울캠퍼스,끄트머리집,"육류,고기",정문,2,http://place.map.kakao.com/762032344
한양대학교 서울캠퍼스,카모메 한양대점,일식,정문,1,http://place.map.kakao.com/12617912
한양대학교 서울캠퍼스,베네토피자앤펍,피자,정문,1,http://place.map.kakao.com/959085068
한양대학교 서울캠퍼스,원조사철냉면,냉면,정문,1,http://place.map.kakao.com/12513680
한양대학교 서울캠퍼스,이돈집,"찌개,전골",정문,1,http://place.map.kakao.com/540518236
한양대학교 서울캠퍼스,맥도날드 한양대점,맥도날드,정문,1,http://place.map.kakao.com/8330325
한양대학교 서울캠퍼스,히토리우동,"돈까스,우동",정문,1,http://place.map.kakao.com/25490786
한양대학교 서울캠퍼스,모음,양식,정문,2,http://place.map.kakao.com/280541854
한양대학교 서울캠퍼스,황소곱창,"곱창,막창",정문,2,http://place.map.kakao.com/12502209
한양대학교 서울캠퍼스,스시로지,"초밥,롤",정문,1,http://place.map.kakao.com/38826126
한양대학교 서울캠퍼스,서울왕족발보쌈,"족발,보쌈",정문,1,http://place.map.kakao.com/7937589
한양대학교 서울캠퍼스,밸런스버거 한양대점,햄버거,정문,1,http://place.map.kakao.com/9078153
한양대학교 서울캠퍼스,아리계곡 왕십리 한양대점,한식,정문,1,http://place.map.kakao.com/1752993861
한양대학교 서울캠퍼스,왕십리막회,회,정문,1,http://place.map.kakao.com/724376327
한양대학교 서울캠퍼스,알촌 한양대점,퓨전한식,정문,1,http://place.map.kakao.com/92127402
한양대학교 서울캠퍼스,9237 한양대점,"육류,고기",정문,2,http://place.map.kakao.com/1420214534
한양대학교 서울캠퍼스,마장갈비 한양대점,갈비,정문,2,http://place.map.kakao.com/7865887
한양대학교 서울캠퍼스,칠칠켄터키 한양대점,치킨,정문,2,http://place.map.kakao.com/1903006641
한양대학교 서울캠퍼스,멘푸라,일본식라면,정문,1,http://place.map.kakao.com/1840585277
한양대학교 서울캠퍼스,이가갈비,갈비,정문,2,http://place.map.kakao.com/10674476
한양대학교 서울캠퍼스,경성고기꾼 왕십리점,"육류,고기",정문,2,http://place.map.kakao.com/1291149014
한양대학교 서울캠퍼스,왕가마솥,"육류,고기",정문,2,http://place.map.kakao.com/16379176
한양대학교 서울캠퍼스,샐피,피자,정문,1,http://place.map.kakao.com/1878977488
한양대학교 서울캠퍼스,더구공탄,"육류,고기",정문,2,http://place.map.kakao.com/27477780
한양대학교 서울캠퍼스,버거리 한양대점,버거리,정문,1,http://place.map.kakao.com/785816109
한양대학교 서울캠퍼스,한양양곱창,"곱창,막창",정문,2,http://place.map.kakao.com/574281696
한양대학교 서울캠퍼스,이모네생고기 한양대직영점,"육류,고기",정문,2,http://place.map.kakao.com/51517457
한양대학교 서울캠퍼스,도스마스 한양대점,"멕시칸,브라질",정문,1,http://place.map.kakao.com/390894541
한양대학교 서울캠퍼스,샤브로21 한양대,샤브샤브,정문,2,http://place.map.kakao.com/1518871981
한양대학교 서울캠퍼스,마쿠마라탕,중식,정문,1,http://place.map.kakao.com/1537623167
한양대학교 서울캠퍼스,의정부부대찌개 한양대점,"찌개,전골",정문,1,http://place.map.kakao.com/27401830
한양대학교 서울캠퍼스,금룡,중국요리,정문,1,http://place.map.kakao.com/8803516
한양대학교 서울캠퍼스,미미램양꼬치 한양대점,양꼬치,정문,2,http://place.map.kakao.com/1561321834
한양대학교 서울캠퍼스,엄마손,한식뷔페,건축관 입구,1,http://place.map.kakao.com/994729245
한양대학교 서울캠퍼스,빨강마차,분식,건축관 입구,1,http://place.map.kakao.com/18485156
한양대학교 서울캠퍼스,맘스터치 한양복지관점,맘스터치,건축관 입구,1,http://place.map.kakao.com/1220067023
한양대학교 서울캠퍼스,퀴즈노스 한양대점,퀴즈노스,건축관 입구,1,http://place.map.kakao.com/1207569808
한양대학교 서울캠퍼스,공씨네 한양대엠케이점,공씨네주먹밥,건축관 입구,1,http://place.map.kakao.com/1090637025
한양대학교 서울캠퍼스,핫도그스 핫도그식당,패스트푸드,건축관 입구,1,http://place.map.kakao.com/186958418
한양대학교 서울캠퍼스,길이식당 한양대점,중식,학생생활관 입구,1,http://place.map.kakao.com/1872281370
한양대학교 서울캠퍼스,이십사절기 한양대점,구내식당,학생생활관 입구,1,http://place.map.kakao.com/662313006
한양대학교 서울캠퍼스,다시올치킨,치킨,학생생활관 입구,2,http://place.map.kakao.com/15553391
한양대학교 서울캠퍼스,미네스키친,일식,학생생활관 입구,1,http://place.map.kakao.com/1337172960
한양대학교 서울캠퍼스,한양촌,한식,학생생활관 입구,1,http://place.map.kakao.com/15737782
한양대학교 서울캠퍼스,원조콩나물국밥,국밥,학생생활관 입구,1,http://place.map.kakao.com/1489975169
한양대학교 서울캠퍼스,타이인플레이트 사근본점,태국음식,학생생활관 입구,1,http://place.map.kakao.com/455867998
한양대학교 서울캠퍼스,마라스타마라탕 한양대점,중국요리,학생생활관 입구,1,http://place.map.kakao.com/1771964703
한양대학교 서울캠퍼스,압구정찌개마을 사근점,"찌개,전골",학생생활관 입구,1,http://place.map.kakao.com/287997445
한양대학교 서울캠퍼스,스타뚝배기,해장국,학생생활관 입구,1,http://place.map.kakao.com/386883550
한양대학교 서울캠퍼스,BHC치킨 한양대마장점,BHC치킨,학생생활관 입구,2,http://place.map.kakao.com/27332915
한양대학교 서울캠퍼스,고향식당,"찌개,전골",학생생활관 입구,1,http://place.map.kakao.com/8742515
한양대학교 서울캠퍼스,한끼라도잘먹자,한식,학생생활관 입구,1,http://place.map.kakao.com/1115130055
한양대학교 서울캠퍼스,종점토스트,토스트,학생생활관 입구,1,http://place.map.kakao.com/927867176
한양대학교 서울캠퍼스,할매불백,한식,학생생활관 입구,1,http://place.map.kakao.com/615903288
한양대학교 서울캠퍼스,7번가피자 한양대점,7번가피자,학생생활관 입구,1,http://place.map.kakao.com/1253288783
한양대학교 서울캠퍼스,손수반상 한양대병원 푸드코트점,푸드코트,학생생활관 입구,1,http://place.map.kakao.com/1454558458
한양대학교 서울캠퍼스,루루족발덮밥,한식,학생생활관 입구,1,http://place.map.kakao.com/1440386606
한양대학교 서울캠퍼스,강떡,분식,학생생활관 입구,1,http://place.map.kakao.com/458159396
한양대학교 서울캠퍼스,대연각,중국요리,학생생활관 입구,1,http://place.map.kakao.com/8929800
한양대학교 서울캠퍼스,스시화 성동점,"초밥,롤",학생생활관 입구,1,http://place.map.kakao.com/1567412489
한양대학교 서울캠퍼스,한양낙곱새요리전문점,"해물,생선",학생생활관 입구,1,http://place.map.kakao.com/2000966242
한양대학교 서울캠퍼스,미쳐버린파닭 한양대점,미쳐버린파닭,학생생활관 입구,1,http://place.map.kakao.com/11908032
한양대학교 서울캠퍼스,꽈백최선생 한양대사근점,간식,학생생활관 입구,1,http://place.map.kakao.com/591814002
한양대학교 서울캠퍼스,명희네칼국수,칼국수,학생생활관 입구,1,http://place.map.kakao.com/216784745
한양대학교 서울캠퍼스,피자랑,피자,학생생활관 입구,1,http://place.map.kakao.com/22763932
한양대학교 서울캠퍼스,동서재닭강정,닭강정,학생생활관 입구,1,http://place.map.kakao.com/31548968
한양대학교 서울캠퍼스,하숙하던집,한식,학생생활관 입구,1,http://place.map.kakao.com/18776984
한양대학교 서울캠퍼스,바삭순살핫 후라이드치킨,치킨,학생생활관 입구,2,http://place.map.kakao.com/31294858
한양대학교 서울캠퍼스,정오아카데미 한양대학교점,한식,학생생활관 입구,1,http://place.map.kakao.com/234809849
