univ,name,category,gates,price_level,url
홍익대학교 서울캠퍼스,우와 홍대본점,일식,정문,2,http://place.map.kakao.com/400281849
홍익대학교 서울캠퍼스,홍대 조선시대,한식,정문,2,http://place.map.kakao.com/1985225055
홍익대학교 서울캠퍼스,츠케루,일본식라면,정문,2,http://place.map.kakao.com/268235810
홍익대학교 서울캠퍼스,가미우동,"돈까스,우동",정문,1,http://place.map.kakao.com/13337463
홍익대학교 서울캠퍼스,프리모바치오바치 홍대본점,이탈리안,정문,2,http://place.map.kakao.com/8123221
홍익대학교 서울캠퍼스,장인닭갈비 홍대점,닭요리,정문,2,http://place.map.kakao.com/443293859
홍익대학교 서울캠퍼스,카미야,"돈까스,우동",정문,1,http://place.map.kakao.com/12771116
홍익대학교 서울캠퍼스,지로우라멘,일본식라면,정문,1,http://place.map.kakao.com/23734945
홍익대학교 서울캠퍼스,이빠네마그릴 홍대점,"멕시칸,브라질",정문,2,http://place.map.kakao.com/899602257
홍익대학교 서울캠퍼스,예티,인도음식,정문,2,http://place.map.kakao.com/13284457
홍익대학교 서울캠퍼스,여우골 홍대점,"초밥,롤",정문,2,http://place.map.kakao.com/27253757
홍익대학교 서울캠퍼스,홍대씨부엉,떡볶이,정문,1,http://place.map.kakao.com/1421762112
홍익대학교 서울캠퍼스,도마 홍대본점,"육류,고기",정문,2,http://place.map.kakao.com/18678102
홍익대학교 서울캠퍼스,감성타코 홍대점,"멕시칸,브라질",정문,2,http://place.map.kakao.com/892514586
홍익대학교 서울캠퍼스,하카타나카,일식,정문,2,http://place.map.kakao.com/21410533
홍익대학교 서울캠퍼스,식스티즈,햄버거,정문,1,http://place.map.kakao.com/488474938
홍익대학교 서울캠퍼스,멘야산다이메 홍대점,일본식라면,정문,2,http://place.map.kakao.com/12887413
홍익대학교 서울캠퍼스,고기꾼김춘배 홍대본점,"육류,고기",정문,2,http://place.map.kakao.com/27197478
홍익대학교 서울캠퍼스,혼가츠,"돈까스,우동",정문,1,http://place.map.kakao.com/22895023
홍익대학교 서울캠퍼스,스페이스원,햄버거,정문,1,http://place.map.kakao.com/706185496
홍익대학교 서울캠퍼스,홍대인파스타,이탈리안,정문,2,http://place.map.kakao.com/1217230294
홍익대학교 서울캠퍼스,다락투,닭요리,정문,2,http://place.map.kakao.com/10278424
홍익대학교 서울캠퍼스,이츠모라멘,일본식라면,정문,1,http://place.map.kakao.com/1719380793
홍익대학교 서울캠퍼스,별자리마라탕 홍대점,중국요리,정문,1,http://place.map.kakao.com/726593676
홍익대학교 서울캠퍼스,마루샤브스카이 홍대직영점,샤브샤브,정문,2,http://place.map.kakao.com/1363457164
홍익대학교 서울캠퍼스,육산장 홍대본점,"육류,고기",정문,2,http://place.map.kakao.com/278241645
홍익대학교 서울캠퍼스,또보겠지떡볶이집 깐따삐아점,떡볶이,정문,1,http://place.map.kakao.com/895272833
홍익대학교 서울캠퍼스,향미,한식,정문,2,http://place.map.kakao.com/9593688
홍익대학교 서울캠퍼스,돈주는남자 마포점,"육류,고기",정문,2,http://place.map.kakao.com/22614740
홍익대학교 서울캠퍼스,스시오 홍대점,"초밥,롤",정문,2,http://place.map.kakao.com/21236051
홍익대학교 서울캠퍼스,타오마라탕 홍대점,중국요리,정문,1,http://place.map.kakao.com/2088827518
홍익대학교 서울캠퍼스,가든포에트,양식,정문,2,http://place.map.kakao.com/916565237
홍익대학교 서울캠퍼스,수림식당 홍대점,중식,정문,1,http://place.map.kakao.com/1702747478
홍익대학교 서울캠퍼스,몬스터피자 본점,피자,정문,2,http://place.map.kakao.com/18754656
홍익대학교 서울캠퍼스,파파초밥,"초밥,롤",정문,2,http://place.map.kakao.com/20060976
홍익대학교 서울캠퍼스,마코토,일식,정문,2,http://place.map.kakao.com/2011219962
홍익대학교 서울캠퍼스,파스치노팬스테이크,"스테이크,립",정문,2,http://place.map.kakao.com/22484613
홍익대학교 서울캠퍼스,이화누룽지삼계탕,삼계탕,후문(과학관),2,http://place.map.kakao.com/195231610
홍익대학교 서울캠퍼스,그동네떡볶이 홍대점,떡볶이,후문(과학관),1,http://place.map.kakao.com/25859396
홍익대학교 서울캠퍼스,발바리네,한식,후문(과학관),2,http://place.map.kakao.com/15625653
홍익대학교 서울캠퍼스,좋아해닭발1,닭요리,후문(과학관),2,http://place.map.kakao.com/1558238643
홍익대학교 서울캠퍼스,삼청당 홍대본점,분식,후문(과학관),1,http://place.map.kakao.com/2081735366
홍익대학교 서울캠퍼스,율촌,국수,후문(과학관),1,http://place.map.kakao.com/24580312
홍익대학교 서울캠퍼스,슬런치팩토리 홍대점,한식,후문(과학관),2,http://place.map.kakao.com/1449970636
홍익대학교 서울캠퍼스,프레쉬엔지니어드 홍대점,샐러드,후문(과학관),2,http://place.map.kakao.com/1774526159
홍익대학교 서울캠퍼스,돼동여지도,"육류,고기",후문(과학관),2,http://place.map.kakao.com/1872763962
홍익대학교 서울캠퍼스,써브웨이 홍대아트점,써브웨이,후문(과학관),2,http://place.map.kakao.com/285790744
홍익대학교 서울캠퍼스,면식당 홍익대점,면식당,후문(과학관),2,http://place.map.kakao.com/1673759413
홍익대학교 서울캠퍼스,한식밥상 홍대점,한식밥상,후문(과학관),2,http://place.map.kakao.com/1447900437
홍익대학교 서울캠퍼스,한돌푸드,구내식당,후문(과학관),2,http://place.map.kakao.com/1403627446
홍익대학교 서울캠퍼스,백도어,양식,후문(과학관),2,http://place.map.kakao.com/937633333
홍익대학교 서울캠퍼스,한끼한상 홍대점,한식,후문(과학관),2,http://place.map.kakao.com/1448374273
홍익대학교 서울캠퍼스,태화스넥경양식,양식,후문(과학관),2,http://place.map.kakao.com/1283053594
홍익대학교 서울캠퍼스,칸다소바 홍대점,일본식라면,남문,2,http://place.map.kakao.com/2057792795
홍익대학교 서울캠퍼스,하카타분코,일본식라면,남문,2,http://place.map.kakao.com/21410206
홍익대학교 서울캠퍼스,플레이트946,이탈리안,남문,2,http://place.map.kakao.com/1680075315
홍익대학교 서울캠퍼스,브렛피자,피자,남문,2,http://place.map.kakao.com/43723039
홍익대학교 서울캠퍼스,구스토타코,"멕시칸,브라질",남문,2,http://place.map.kakao.com/20885402
홍익대학교 서울캠퍼스,고고갈비 홍대상수점,갈비,남문,2,http://place.map.kakao.com/24245433
홍익대학교 서울캠퍼스,소담카츠,"돈까스,우동",남문,1,http://place.map.kakao.com/744420641
홍익대학교 서울캠퍼스,라멘트럭 상수본점,일본식라면,남문,1,http://place.map.kakao.com/1859634829
홍익대학교 서울캠퍼스,연어초밥 상수점,"초밥,롤",남문,2,http://place.map.kakao.com/935481688
홍익대학교 서울캠퍼스,요코스카쓰나미 상수점,일식집,남문,2,http://place.map.kakao.com/1306093287
홍익대학교 서울캠퍼스,아티장 깔조네버거 홍대본점,햄버거,남문,1,http://place.map.kakao.com/1694657356
홍익대학교 서울캠퍼스,명장,중국요리,남문,2,http://place.map.kakao.com/1237520308
홍익대학교 서울캠퍼스,다운타우너 상수점,햄버거,남문,1,http://place.map.kakao.com/2060143768
홍익대학교 서울캠퍼스,외양간,"육류,고기",남문,2,http://place.map.kakao.com/2131726669
홍익대학교 서울캠퍼스,연우김밥 상수점,분식,남문,1,http://place.map.kakao.com/26965495
홍익대학교 서울캠퍼스,김덕후의곱창조 홍대본점,"곱창,막창",남문,2,http://place.map.kakao.com/20044268
홍익대학교 서울캠퍼스,환시앙,중식,남문,1,http://place.map.kakao.com/1056365433
홍익대학교 서울캠퍼스,집밥김치찌개 본점,"찌개,전골",남문,2,http://place.map.kakao.com/1718126650
홍익대학교 서울캠퍼스,더할랄오빠,패스트푸드,남문,1,http://place.map.kakao.com/2110297616
홍익대학교 서울캠퍼스,원타코스,"멕시칸,브라질",남문,2,http://place.map.kakao.com/1545891189
홍익대학교 서울캠퍼스,더핏짜,피자,남문,2,http://place.map.kakao.com/1484385167
홍익대학교 서울캠퍼스,써브웨이 상수역점,써브웨이,남문,2,http://place.map.kakao.com/27432909
홍익대학교 서울캠퍼스,에꼴리,양식,남문,2,http://place.map.kakao.com/1806556274
홍익대학교 서울캠퍼스,파슬리,양식,남문,2,http://place.map.kakao.com/1529728889
