univ,name,category,gates,price_level,url
인하대학교 용현캠퍼스,이태리부대찌개 인하대역점,"찌개,전골",정문,1,http://place.map.kakao.com/263548344
인하대학교 용현캠퍼스,가마솥순대국 인하대점,순대,정문,1,http://place.map.kakao.com/16712861
인하대학교 용현캠퍼스,백상현돈까스,"돈까스,우동",정문,1,http://place.map.kakao.com/1626678787
인하대학교 용현캠퍼스,사이공본가 인하대점,베트남음식,정문,1,http://place.map.kakao.com/726793190
인하대학교 용현캠퍼스,도원집,한식,정문,1,http://place.map.kakao.com/1958703211
인하대학교 용현캠퍼스,두끼떡볶이 홈플러스인천인하점,두끼떡볶이,정문,1,http://place.map.kakao.com/1523654770
인하대학교 용현캠퍼스,홈플러스 인하점 푸드코트,푸드코트,정문,1,http://place.map.kakao.com/1969448476
인하대학교 용현캠퍼스,스시만 인하점,"초밥,롤",정문,1,http://place.map.kakao.com/193946438
인하대학교 용현캠퍼스,마라시대마라탕 인천본점,중식,정문,1,http://place.map.kakao.com/1385634946
인하대학교 용현캠퍼스,카모메,"돈까스,우동",정문,1,http://place.map.kakao.com/699164373
인하대학교 용현캠퍼스,좋밥집,한식,정문,1,http://place.map.kakao.com/1978423565
인하대학교 용현캠퍼스,고고함박 인하점,양식,정문,2,http://place.map.kakao.com/2045521180
인하대학교 용현캠퍼스,비빔가,한식,정문,1,http://place.map.kakao.com/1206967895
인하대학교 용현캠퍼스,인하칼국수,칼국수,의과대학 입구,1,http://place.map.kakao.com/23437720
인하대학교 용현캠퍼스,커리야 인하대점,인도음식,의과대학 입구,1,http://place.map.kakao.com/1150914777
인하대학교 용현캠퍼스,신촌설렁탕,설렁탕,의과대학 입구,1,http://place.map.kakao.com/27480595
인하대학교 용현캠퍼스,고수찜닭 인하대점,닭요리,의과대학 입구,2,http://place.map.kakao.com/16308640
인하대학교 용현캠퍼스,가메이,일식,의과대학 입구,1,http://place.map.kakao.com/27480467
인하대학교 용현캠퍼스,매운애갈비찜 인하대점,갈비,의과대학 입구,2,http://place.map.kakao.com/19357035
인하대학교 용현캠퍼스,이모떡즉석떡볶이,떡볶이,의과대학 입구,1,http://place.map.kakao.com/197233571
인하대학교 용현캠퍼스,궁중보쌈,"족발,보쌈",의과대학 입구,1,http://place.map.kakao.com/27539027
인하대학교 용현캠퍼스,팥지콩지 인하대후문삼거리,한식,의과대학 입구,1,http://place.map.kakao.com/1644882944
인하대학교 용현캠퍼스,아웃닭 인하대점,치킨,의과대학 입구,2,http://place.map.kakao.com/1593175728
인하대학교 용현캠퍼스,숯불구이먹방,"육류,고기",의과대학 입구,2,http://place.map.kakao.com/26486823
인하대학교 용현캠퍼스,일미닭갈비파전 인하대점,닭요리,의과대학 입구,2,http://place.map.kakao.com/27405948
인하대학교 용현캠퍼스,이치라멘&돈가츠,일본식라면,의과대학 입구,1,http://place.map.kakao.com/79392583
인하대학교 용현캠퍼스,레오펍,피자,의과대학 입구,1,http://place.map.kakao.com/842914732
인하대학교 용현캠퍼스,까사올리브,양식,의과대학 입구,2,http://place.map.kakao.com/10628292
