univ,name,category,gates,price_level,url
고려대학교 서울캠퍼스,고대식당,한식뷔페,법학관 입구,1,http://place.map.kakao.com/2012769847
고려대학교 서울캠퍼스,고래돈가스 고대점,"돈까스,우동",정문,1,http://place.map.kakao.com/24529027
고려대학교 서울캠퍼스,고려대학교 법학관 스낵코너,간식,법학관 입구,1,http://place.map.kakao.com/21327931
고려대학교 서울캠퍼스,고려대학교 서울캠퍼스 애기능생활관 학생식당,구내식당,자연계캠퍼스 후문,1,http://place.map.kakao.com/532829092
고려대학교 서울캠퍼스,고려성,중식,자연계캠퍼스 후문,1,http://place.map.kakao.com/10163584
고려대학교 서울캠퍼스,고른햇살,분식,"정경대학 입구,자연계캠퍼스 입구,정운오IT교양관 후문",1,http://place.map.kakao.com/13086789
고려대학교 서울캠퍼스,금복식당,한식,정문,1,http://place.map.kakao.com/21232037
고려대학교 서울캠퍼스,끼니와새참,한식,법학관 입구,1,http://place.map.kakao.com/15713763
고려대학교 서울캠퍼스,두레식당,한식,법학관 입구,1,http://place.map.kakao.com/15878733
고려대학교 서울캠퍼스,맥도날드 안암점,맥도날드,자연계캠퍼스 후문,1,http://place.map.kakao.com/21324889
고려대학교 서울캠퍼스,미스터국밥,국밥,정경대학 입구,1,http://place.map.kakao.com/26605957
고려대학교 서울캠퍼스,베나레스,인도음식,"정운오IT교양관 후문,자연계캠퍼스 후문",1,http://place.map.kakao.com/12075400
고려대학교 서울캠퍼스,비나레스토랑,인도음식,정문,1,http://place.map.kakao.com/27174790
고려대학교 서울캠퍼스,서울쌈냉면 고대점,냉면,"정경대학 입구,자연계캠퍼스 입구",1,http://place.map.kakao.com/10501014
고려대학교 서울캠퍼스,소문난의정부부대찌개 고대점,"찌개,전골",정문,1,http://place.map.kakao.com/727605325
고려대학교 서울캠퍼스,수저가,중국요리,"정운오IT교양관 후문,자연계캠퍼스 후문",1,http://place.map.kakao.com/688654430
고려대학교 서울캠퍼스,신의주부대찌개 안암동점,"찌개,전골",자연계캠퍼스 후문,1,http://place.map.kakao.com/15505713
고려대학교 서울캠퍼스,아미가,한식,법학관 입구,1,http://place.map.kakao.com/26899865
고려대학교 서울캠퍼스,양지식당,"찌개,전골",자연계캠퍼스 입구,1,http://place.map.kakao.com/1252583290
고려대학교 서울캠퍼스,오박사네돈까스전문점 고대점,"돈까스,우동",법학관 입구,1,http://place.map.kakao.com/16902781
고려대학교 서울캠퍼스,오샬,인도음식,"정경대학 입구,자연계캠퍼스 입구,정운오IT교양관 후문",1,http://place.map.kakao.com/540993689
고려대학교 서울캠퍼스,우승식당,한식,자연계캠퍼스 후문,1,http://place.map.kakao.com/852745609
고려대학교 서울캠퍼스,이공김밥,분식,"정운오IT교양관 후문,자연계캠퍼스 후문",1,http://place.map.kakao.com/60259859
고려대학교 서울캠퍼스,중국관,중국요리,정문,1,http://place.map.kakao.com/340735999
고려대학교 서울캠퍼스,청보리꼴,한식,법학관 입구,1,http://place.map.kakao.com/21242188
고려대학교 서울캠퍼스,특별식당,일식,"정경대학 입구,자연계캠퍼스 입구",1,http://place.map.kakao.com/2040703324
고려대학교 서울캠퍼스,호랭이밥그릇,한식,법학관 입구,1,http://place.map.kakao.com/9618842
,,,,,
고려대학교 서울캠퍼스,끄트머리집 안암점,"육류,고기",자연계캠퍼스 후문,2,http://place.map.kakao.com/922094625
고려대학교 서울캠퍼스,나그네파전,한식,정경대학 입구,2,http://place.map.kakao.com/2074141616
고려대학교 서울캠퍼스,놈놈브런치,양식,정문,2,http://place.map.kakao.com/858190180
고려대학교 서울캠퍼스,동우설렁탕 본점,설렁탕,"정경대학 입구,자연계캠퍼스 입구",2,http://place.map.kakao.com/21233686
고려대학교 서울캠퍼스,맛식당연어랑,일식,법학관 입구,2,http://place.map.kakao.com/614426999
고려대학교 서울캠퍼스,백미향 고려대점,중국요리,정문,2,http://place.map.kakao.com/1134371524
고려대학교 서울캠퍼스,백소정 안암본점,백소정,"정경대학 입구,자연계캠퍼스 입구",2,http://place.map.kakao.com/1306082197
고려대학교 서울캠퍼스,야마토텐동,일식,"정경대학 입구,자연계캠퍼스 입구,정운오IT교양관 후문",2,http://place.map.kakao.com/927297064
고려대학교 서울캠퍼스,용초수,중국요리,"정경대학 입구,자연계캠퍼스 입구,정운오IT교양관 후문",2,http://place.map.kakao.com/21401923
고려대학교 서울캠퍼스,유자유김치떡볶이 본점,떡볶이,"자연계캠퍼스 입구,정운오IT교양관 후문,자연계캠퍼스 후문",2,http://place.map.kakao.com/14512484
고려대학교 서울캠퍼스,이수영피자 본점,피자,정문,2,http://place.map.kakao.com/19133071
고려대학교 서울캠퍼스,일곱평,이탈리안,정문,2,http://place.map.kakao.com/1126853143
고려대학교 서울캠퍼스,칠기마라샹궈마라탕 고대본점,중국요리,정문,2,http://place.map.kakao.com/1376289584
고려대학교 서울캠퍼스,토로생선구이,"해물,생선","정경대학 입구,자연계캠퍼스 입구,정운오IT교양관 후문",2,http://place.map.kakao.com/1523499015
고려대학교 서울캠퍼스,팔백집 고대점,갈비,"정경대학 입구,자연계캠퍼스 입구,정운오IT교양관 후문",2,http://place.map.kakao.com/2024769205
고려대학교 서울캠퍼스,호랑이초밥 고대점,"초밥,롤",자연계캠퍼스 후문,2,http://place.map.kakao.com/1735154712
고려대학교 서울캠퍼스,홍빠오,중국요리,법학관 입구,2,http://place.map.kakao.com/14138853
,,,,,
고려대학교 서울캠퍼스,고대삼성 삼통치킨 고대본점,치킨,"정경대학 입구,자연계캠퍼스 입구,정운오IT교양관 후문",3,http://place.map.kakao.com/12274642
고려대학교 서울캠퍼스,달밝은집,"육류,고기",법학관 입구,3,http://place.map.kakao.com/491644367
고려대학교 서울캠퍼스,삼성통닭,치킨,"정운오IT교양관 후문,자연계캠퍼스 후문",3,http://place.map.kakao.com/946837172
고려대학교 서울캠퍼스,스담,"초밥,롤",법학관 입구,3,http://place.map.kakao.com/2143482432
