univ,name,category,gates,price_level,url
고려대학교 서울캠퍼스,고대삼성 삼통치킨 고대본점,치킨,"정경대학 입구,자연계캠퍼스 입구,정운오IT교양관 후문",3,https://map.kakao.com/link/search/%EA%B3%A0%EB%8C%80%EC%82%BC%EC%84%B1%20%EC%82%BC%ED%86%B5%EC%B9%98%ED%82%A8%20%EA%B3%A0%EB%8C%80%EB%B3%B8%EC%A0%90
고려대학교 서울캠퍼스,고대식당,한식뷔페,법학관 입구,1,https://map.kakao.com/link/search/%EA%B3%A0%EB%8C%80%EC%8B%9D%EB%8B%B9
고려대학교 서울캠퍼스,고래돈가스 고대점,"돈까스,우동",정문,1,https://map.kakao.com/link/search/%EA%B3%A0%EB%9E%98%EB%8F%88%EA%B0%80%EC%8A%A4%20%EA%B3%A0%EB%8C%80%EC%A0%90
고려대학교 서울캠퍼스,고려대학교 법학관 스낵코너,간식,법학관 입구,1,https://map.kakao.com/link/search/%EA%B3%A0%EB%A0%A4%EB%8C%80%ED%95%99%EA%B5%90%20%EB%B2%95%ED%95%99%EA%B4%80%20%EC%8A%A4%EB%82%B5%EC%BD%94%EB%84%88
고려대학교 서울캠퍼스,고려대학교 서울캠퍼스 애기능생활관 학생식당,구내식당,자연계캠퍼스 후문,1,https://map.kakao.com/link/search/%EA%B3%A0%EB%A0%A4%EB%8C%80%ED%95%99%EA%B5%90%20%EC%84%9C%EC%9A%B8%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%95%A0%EA%B8%B0%EB%8A%A5%EC%83%9D%ED%99%9C%EA%B4%80%20%ED%95%99%EC%83%9D%EC%8B%9D%EB%8B%B9
고려대학교 서울캠퍼스,고려성,중식,자연계캠퍼스 후문,1,https://map.kakao.com/link/search/%EA%B3%A0%EB%A0%A4%EC%84%B1
고려대학교 서울캠퍼스,고른햇살,분식,"정경대학 입구,자연계캠퍼스 입구,정운오IT교양관 후문",1,https://map.kakao.com/link/search/%EA%B3%A0%EB%A5%B8%ED%96%87%EC%82%B4
고려대학교 서울캠퍼스,금복식당,한식,정문,1,https://map.kakao.com/link/search/%EA%B8%88%EB%B3%B5%EC%8B%9D%EB%8B%B9
고려대학교 서울캠퍼스,끄트머리집 안암점,"육류,고기",자연계캠퍼스 후문,2,https://map.kakao.com/link/search/%EB%81%84%ED%8A%B8%EB%A8%B8%EB%A6%AC%EC%A7%91%20%EC%95%88%EC%95%94%EC%A0%90
고려대학교 서울캠퍼스,끼니와새참,한식,법학관 입구,1,https://map.kakao.com/link/search/%EB%81%BC%EB%8B%88%EC%99%80%EC%83%88%EC%B0%B8
고려대학교 서울캠퍼스,나그네파전,한식,정경대학 입구,2,https://map.kakao.com/link/search/%EB%82%98%EA%B7%B8%EB%84%A4%ED%8C%8C%EC%A0%84
고려대학교 서울캠퍼스,놈놈브런치,양식,정문,2,https://map.kakao.com/link/search/%EB%86%88%EB%86%88%EB%B8%8C%EB%9F%B0%EC%B9%98
고려대학교 서울캠퍼스,달밝은집,"육류,고기",법학관 입구,3,https://map.kakao.com/link/search/%EB%8B%AC%EB%B0%9D%EC%9D%80%EC%A7%91
고려대학교 서울캠퍼스,동우설렁탕 본점,설렁탕,"정경대학 입구,자연계캠퍼스 입구",2,https://map.kakao.com/link/search/%EB%8F%99%EC%9A%B0%EC%84%A4%EB%A0%81%ED%83%95%20%EB%B3%B8%EC%A0%90
고려대학교 서울캠퍼스,두레식당,한식,법학관 입구,1,https://map.kakao.com/link/search/%EB%91%90%EB%A0%88%EC%8B%9D%EB%8B%B9
고려대학교 서울캠퍼스,디어브레드 고대점,"제과,베이커리","정경대학 입구,자연계캠퍼스 입구,정운오IT교양관 후문",1,https://map.kakao.com/link/search/%EB%94%94%EC%96%B4%EB%B8%8C%EB%A0%88%EB%93%9C%20%EA%B3%A0%EB%8C%80%EC%A0%90
고려대학교 서울캠퍼스,맛식당연어랑,일식,법학관 입구,2,https://map.kakao.com/link/search/%EB%A7%9B%EC%8B%9D%EB%8B%B9%EC%97%B0%EC%96%B4%EB%9E%91
고려대학교 서울캠퍼스,맥도날드 안암점,맥도날드,자연계캠퍼스 후문,1,https://map.kakao.com/link/search/%EB%A7%A5%EB%8F%84%EB%82%A0%EB%93%9C%20%EC%95%88%EC%95%94%EC%A0%90
고려대학교 서울캠퍼스,미스터국밥,국밥,정경대학 입구,1,https://map.kakao.com/link/search/%EB%AF%B8%EC%8A%A4%ED%84%B0%EA%B5%AD%EB%B0%A5
고려대학교 서울캠퍼스,백미향 고려대점,중국요리,정문,2,https://map.kakao.com/link/search/%EB%B0%B1%EB%AF%B8%ED%96%A5%20%EA%B3%A0%EB%A0%A4%EB%8C%80%EC%A0%90
고려대학교 서울캠퍼스,백소정 안암본점,백소정,"정경대학 입구,자연계캠퍼스 입구",2,https://map.kakao.com/link/search/%EB%B0%B1%EC%86%8C%EC%A0%95%20%EC%95%88%EC%95%94%EB%B3%B8%EC%A0%90
고려대학교 서울캠퍼스,베나레스,인도음식,"정운오IT교양관 후문,자연계캠퍼스 후문",1,https://map.kakao.com/link/search/%EB%B2%A0%EB%82%98%EB%A0%88%EC%8A%A4
고려대학교 서울캠퍼스,비나레스토랑,인도음식,정문,1,https://map.kakao.com/link/search/%EB%B9%84%EB%82%98%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91
고려대학교 서울캠퍼스,삼성통닭,치킨,"정운오IT교양관 후문,자연계캠퍼스 후문",3,https://map.kakao.com/link/search/%EC%82%BC%EC%84%B1%ED%86%B5%EB%8B%AD
고려대학교 서울캠퍼스,서울쌈냉면 고대점,냉면,"정경대학 입구,자연계캠퍼스 입구",1,https://map.kakao.com/link/search/%EC%84%9C%EC%9A%B8%EC%8C%88%EB%83%89%EB%A9%B4%20%EA%B3%A0%EB%8C%80%EC%A0%90
고려대학교 서울캠퍼스,소문난의정부부대찌개 고대점,"찌개,전골",정문,1,https://map.kakao.com/link/search/%EC%86%8C%EB%AC%B8%EB%82%9C%EC%9D%98%EC%A0%95%EB%B6%80%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C%20%EA%B3%A0%EB%8C%80%EC%A0%90
고려대학교 서울캠퍼스,수저가,중국요리,"정운오IT교양관 후문,자연계캠퍼스 후문",1,https://map.kakao.com/link/search/%EC%88%98%EC%A0%80%EA%B0%80
고려대학교 서울캠퍼스,스담,"초밥,롤",법학관 입구,3,https://map.kakao.com/link/search/%EC%8A%A4%EB%8B%B4
고려대학교 서울캠퍼스,신의주부대찌개 안암동점,"찌개,전골",자연계캠퍼스 후문,1,https://map.kakao.com/link/search/%EC%8B%A0%EC%9D%98%EC%A3%BC%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C%20%EC%95%88%EC%95%94%EB%8F%99%EC%A0%90
고려대학교 서울캠퍼스,아미가,한식,법학관 입구,1,https://map.kakao.com/link/search/%EC%95%84%EB%AF%B8%EA%B0%80
고려대학교 서울캠퍼스,야마토텐동,일식,"정경대학 입구,자연계캠퍼스 입구,정운오IT교양관 후문",2,https://map.kakao.com/link/search/%EC%95%BC%EB%A7%88%ED%86%A0%ED%85%90%EB%8F%99
고려대학교 서울캠퍼스,양지식당,"찌개,전골",자연계캠퍼스 입구,1,https://map.kakao.com/link/search/%EC%96%91%EC%A7%80%EC%8B%9D%EB%8B%B9
고려대학교 서울캠퍼스,오박사네돈까스전문점 고대점,"돈까스,우동",법학관 입구,1,https://map.kakao.com/link/search/%EC%98%A4%EB%B0%95%EC%82%AC%EB%84%A4%EB%8F%88%EA%B9%8C%EC%8A%A4%EC%A0%84%EB%AC%B8%EC%A0%90%20%EA%B3%A0%EB%8C%80%EC%A0%90
고려대학교 서울캠퍼스,오샬,인도음식,"정경대학 입구,자연계캠퍼스 입구,정운오IT교양관 후문",1,https://map.kakao.com/link/search/%EC%98%A4%EC%83%AC
고려대학교 서울캠퍼스,용초수,중국요리,"정경대학 입구,자연계캠퍼스 입구,정운오IT교양관 후문",2,https://map.kakao.com/link/search/%EC%9A%A9%EC%B4%88%EC%88%98
고려대학교 서울캠퍼스,우승식당,한식,자연계캠퍼스 후문,1,https://map.kakao.com/link/search/%EC%9A%B0%EC%8A%B9%EC%8B%9D%EB%8B%B9
고려대학교 서울캠퍼스,유자유김치떡볶이 본점,떡볶이,"자연계캠퍼스 입구,정운오IT교양관 후문,자연계캠퍼스 후문",2,https://map.kakao.com/link/search/%EC%9C%A0%EC%9E%90%EC%9C%A0%EA%B9%80%EC%B9%98%EB%96%A1%EB%B3%B6%EC%9D%B4%20%EB%B3%B8%EC%A0%90
고려대학교 서울캠퍼스,이공김밥,분식,"정운오IT교양관 후문,자연계캠퍼스 후문",1,https://map.kakao.com/link/search/%EC%9D%B4%EA%B3%B5%EA%B9%80%EB%B0%A5
고려대학교 서울캠퍼스,이수영피자 본점,피자,정문,2,https://map.kakao.com/link/search/%EC%9D%B4%EC%88%98%EC%98%81%ED%94%BC%EC%9E%90%20%EB%B3%B8%EC%A0%90
고려대학교 서울캠퍼스,일곱평,이탈리안,정문,2,https://map.kakao.com/link/search/%EC%9D%BC%EA%B3%B1%ED%8F%89
고려대학교 서울캠퍼스,제주고깃집 안암점,"육류,고기","정운오IT교양관 후문,자연계캠퍼스 후문",3,https://map.kakao.com/link/search/%EC%A0%9C%EC%A3%BC%EA%B3%A0%EA%B9%83%EC%A7%91%20%EC%95%88%EC%95%94%EC%A0%90
고려대학교 서울캠퍼스,조개베네 고대점,조개,정문,3,https://map.kakao.com/link/search/%EC%A1%B0%EA%B0%9C%EB%B2%A0%EB%84%A4%20%EA%B3%A0%EB%8C%80%EC%A0%90
