univ,name,category,gates,price_level,url
연세대학교 신촌캠퍼스,가마마루이,일본식라면,정문,1,http://place.map.kakao.com/12342064
연세대학교 신촌캠퍼스,꼬숑돈까스,"돈까스,우동",정문,1,http://place.map.kakao.com/27144649
연세대학교 신촌캠퍼스,노브랜드버거 연세대SK국제학사점,노브랜드버거,동문,1,http://place.map.kakao.com/847492494
연세대학교 신촌캠퍼스,다미칼국수,칼국수,동문,1,http://place.map.kakao.com/8843082
연세대학교 신촌캠퍼스,미가분식,분식,서문,1,http://place.map.kakao.com/15944887
연세대학교 신촌캠퍼스,밀플랜비 연세대점,"멕시칸,브라질",서문,1,http://place.map.kakao.com/1478253877
연세대학교 신촌캠퍼스,바라반,일본식라면,동문,1,http://place.map.kakao.com/2038691059
연세대학교 신촌캠퍼스,박가네짬뽕,중국요리,서문,1,http://place.map.kakao.com/1563020769
연세대학교 신촌캠퍼스,사케아이,베트남음식,서문,1,http://place.map.kakao.com/1260997206
연세대학교 신촌캠퍼스,서문첫집,한식,서문,1,http://place.map.kakao.com/811949532
연세대학교 신촌캠퍼스,씽씽,중국요리,서문,1,http://place.map.kakao.com/1837339436
연세대학교 신촌캠퍼스,아만도,한식,서문,1,http://place.map.kakao.com/15729081
연세대학교 신촌캠퍼스,아비꼬 연대동문점,아비꼬,동문,1,http://place.map.kakao.com/497092806
연세대학교 신촌캠퍼스,월성분식,분식,서문,1,http://place.map.kakao.com/15941188
연세대학교 신촌캠퍼스,제순식당 SK국제학사,한식,동문,1,http://place.map.kakao.com/1377258993
연세대학교 신촌캠퍼스,존재의이유 1호점,한식,동문,1,http://place.map.kakao.com/13615180
연세대학교 신촌캠퍼스,키친봄날,분식,정문,1,http://place.map.kakao.com/1573253740
연세대학교 신촌캠퍼스,포석정,한식,정문,1,http://place.map.kakao.com/8571672
연세대학교 신촌캠퍼스,프랭크버거 연세대고를샘점,프랭크버거,동문,1,http://place.map.kakao.com/1529811335
연세대학교 신촌캠퍼스,프레시부리또 연세대 SK국제학사점,"멕시칸,브라질",동문,1,http://place.map.kakao.com/39920184
연세대학교 신촌캠퍼스,피자앤플랫,피자,서문,1,http://place.map.kakao.com/26472852
연세대학교 신촌캠퍼스,화가와요리사 이대후문점,"돈까스,우동",동문,1,http://place.map.kakao.com/13691522
,,,,,
연세대학교 신촌캠퍼스,고삼이 신촌점,"해물,생선",정문,2,http://place.map.kakao.com/17505297
연세대학교 신촌캠퍼스,더도이축산직영점 신촌본점,"육류,고기",정문,2,http://place.map.kakao.com/1473260841
연세대학교 신촌캠퍼스,라구식당,이탈리안,정문,2,http://place.map.kakao.com/26976526
연세대학교 신촌캠퍼스,미도인 신촌점,일식,정문,2,http://place.map.kakao.com/594421253
연세대학교 신촌캠퍼스,복성각,중국요리,정문,2,http://place.map.kakao.com/7892863
연세대학교 신촌캠퍼스,사까야,일식,북문,2,http://place.map.kakao.com/22046054
연세대학교 신촌캠퍼스,어구생 어머니가구워주신생선구이,"해물,생선",북문,2,http://place.map.kakao.com/1012476566
연세대학교 신촌캠퍼스,완차이,중국요리,정문,2,http://place.map.kakao.com/10621045
연세대학교 신촌캠퍼스,우동카덴 연희점,일식,북문,2,http://place.map.kakao.com/1449183784
연세대학교 신촌캠퍼스,유자유김치떡볶이 신촌점,떡볶이,정문,2,http://place.map.kakao.com/104532017
연세대학교 신촌캠퍼스,착한곱창,"곱창,막창",정문,2,http://place.map.kakao.com/1212311455
연세대학교 신촌캠퍼스,하노이의아침 신촌점,베트남음식,동문,2,http://place.map.kakao.com/8126006
,,,,,
연세대학교 신촌캠퍼스,고미정,한정식,북문,3,http://place.map.kakao.com/27352120
연세대학교 신촌캠퍼스,굽네치킨 서대문연희점,굽네치킨,북문,3,http://place.map.kakao.com/8195632
연세대학교 신촌캠퍼스,로드샌드위치 대신점,샌드위치,동문,3,http://place.map.kakao.com/11831420
연세대학교 신촌캠퍼스,리틀쿠바,양식,정문,3,http://place.map.kakao.com/1960450516
연세대학교 신촌캠퍼스,스시마쯔,"초밥,롤",북문,3,http://place.map.kakao.com/854089661
연세대학교 신촌캠퍼스,신촌형제갈비,갈비,정문,3,http://place.map.kakao.com/15937430
연세대학교 신촌캠퍼스,아웃백스테이크하우스 신촌점,아웃백스테이크하우스,정문,3,http://place.map.kakao.com/7991188
연세대학교 신촌캠퍼스,연대북문우리집,한식,북문,3,http://place.map.kakao.com/24710109
연세대학교 신촌캠퍼스,유우,일식,북문,3,http://place.map.kakao.com/23991500
연세대학교 신촌캠퍼스,잇웰 연희,양식,서문,3,http://place.map.kakao.com/1934454297
연세대학교 신촌캠퍼스,파올로데마리아,이탈리안,북문,3,http://place.map.kakao.com/1815812863
연세대학교 신촌캠퍼스,파파존스 연희점,파파존스,서문,3,http://place.map.kakao.com/8120874
